[2026-05-11 18:16:39,162] 24 root - INFO - Initiate the data ingestion
[2026-05-11 18:16:41,329] 69 root - INFO - Performed train test split on the dataframe
[2026-05-11 18:16:41,329] 71 root - INFO - Exited split_data_as_train_test_split method of Data_Ingestion class
[2026-05-11 18:16:41,329] 78 root - INFO - Exporting train and test file path.
[2026-05-11 18:16:41,454] 88 root - INFO - Exported train and test file path. 
[2026-05-11 18:16:41,454] 28 root - INFO - Data Ingestion completed
[2026-05-11 18:16:41,471] 40 root - INFO - Initiate the data Validation
[2026-05-11 18:16:41,649] 35 root - INFO - Required number of columns: 31
[2026-05-11 18:16:41,649] 36 root - INFO - Data frame has columns: 31
[2026-05-11 18:16:41,649] 35 root - INFO - Required number of columns: 31
[2026-05-11 18:16:41,649] 36 root - INFO - Data frame has columns: 31
[2026-05-11 18:16:41,962] 44 root - INFO - Data Validation Completed
[2026-05-11 18:16:41,962] 53 root - INFO - Data Transformation Started
[2026-05-11 18:16:42,062] 50 root - INFO - Entered get_data__transformer_object method of Transformation class
[2026-05-11 18:16:42,062] 55 root - INFO - Initialise KNNImputrer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-11 18:16:42,078] 50 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-11 18:16:42,092] 54 root - INFO - Exited the save_object method of MainUtils class
[2026-05-11 18:16:42,108] 66 root - INFO - Data Transformation Completed
